Addresse,Latitude,Longitude
Maison à vendre à Marly-la-Ville (95670),49.08201,2.50347
Chars 95750,49.1604049,1.9367877
Bezons 95870 (Nouveau Bezons),48.9204595,2.2047466
Viarmes 95270,49.125863,2.3693685
Groslay 95410,48.9867112,2.3458615
Vigny 95450,49.077778,1.9272914
Cormeilles-en-Parisis 95240 (Noyer de l'Image),48.9645533,2.2060642
Bruyères-sur-Oise 95820,49.1573165,2.3301301
Sannois 95110 (Pasteur),48.9746463,2.2655624
Moussy 95640,49.1379292,1.9088785
Garges-lès-Gonesse 95140 (Le Vieux Pays),48.9674614,2.4111114
Fontenay-en-Parisis 95190,49.0535501,2.45143
Presles 95590,49.114721,2.2814878
Villers-en-Arthies 95510,49.0884444,1.7264055
Taverny 95150 (Centre-ville - Les Coteaux),49.0254,2.2169
Osny 95520 (Liviliiers - Ennery - Zone Commerciale l'Oseraie),49.0594,2.0618
Attainville 95570,49.0578463,2.3446221
Fosses 95470,49.0986649,2.5161998
Nesles-la-Vallée 95690,49.1278723,2.1712619
Vétheuil 95510,49.06325,1.70278
Deuil-la-Barre 95170 (Mortefontaines),48.9743261,2.3208207
Le Plessis-Luzarches 95270,49.0957781,2.4537867
Montmagny 95360 (Barrage),48.9749733,2.3628415
Louvres 95380,49.0449139,2.5096751
Franconville 95130 (Stade),48.9997302,2.2190488
Maison à vendre à Puiseux-en-France (95380),49.05552,2.50035
Herblay 95220 (Verdun - Copistes),48.9899,2.1699
Soisy-sous-Montmorency 95230 (Les Noels - Champs de Course d'Enghien - Gare),48.9881,2.3016
Jouy-le-Moutier 95280 (Jouy-le-Fontaine - Jouy-village),49.0179692,2.0465264
Puiseux-en-France 95380,49.0597512,2.5009544
Herblay 95220 (Val d'Herblay),48.991877,2.1708278
Goussainville 95190 (Grenelle - Grandes-Bornes),49.0662,2.4581
Taverny 95150 (Les Lignières - Mermoz - Les Ecouardes),49.0254,2.2169
Saint-Leu-la-Forêt 95320 (Les Côteaux),49.0167,2.25
Seraincourt 95450,49.0355508,1.8657252
Saint-Ouen-l'Aumône 95310 (Eglise),49.0391632,2.1046784
Valmondois 95760,49.0967512,2.1889394
Nointel 95590,49.129763,2.2900352
Cormeilles-en-Parisis 95240 (Alsace Lorraine),48.9667529,2.1907154
Villaines-sous-Bois 95570,49.0760008,2.3576353
Maison à vendre à Vémars (95470),49.06942,2.56643
Saint-Witz 95470,49.0906196,2.5653692
Éragny 95610 (Le Bois - La Butte),49.0167,2.1
Margency 95580,49.002,2.28847
Osny 95520 (Val de Viosne - Gare),49.0594,2.0618
Saint-Gratien 95210 (Forum),48.9684092,2.2850788
Maison à vendre à Sarcelles (95200),49,2.38333
Sannois 95110 (Gaston Ramon),48.9801871,2.2398653
Persan 95340,49.1512109,2.2765575
Sarcelles 95200 (Rosiers),48.9977386,2.3682646
Montigny-lès-Cormeilles 95370 (République),48.9959113,2.1989225
Arnouville 95400 (Cottage - Beauséjour),48.9867689,2.4205692
Maison à vendre à Survilliers (95470),49.09712,2.54449
Soisy-sous-Montmorency 95230,48.9875044,2.3002885
Sannois 95110 (Voltaire),48.9758613,2.2590126
Sannois 95110 (Centre-ville - Bel Air),48.9667,2.25
Deuil-la-Barre 95170 (Barre - Ormesson),48.9662338,2.3167211
Herblay 95220 (Cailloux Gris - Bayonnes),48.9965164,2.1454945
Montmagny 95360 (Jules Ferry - Trois Communes - Acacias),48.9734,2.3469
Maison à vendre à Montmorency (95160),48.98826,2.3434
Amenucourt 95510,49.1067288,1.6432239
Ermont 95120 (Centre-ville),48.9917676,2.2585679
Jagny-sous-Bois 95850,49.0784323,2.4440241
Beaumont-sur-Oise 95260,49.1419322,2.2849324
Butry-sur-Oise 95430,49.0856723,2.1979556
Cergy 95000 (Axe Majeur - Horloge),49.0506875,2.0337028
Bouffémont 95570,49.0431342,2.2991001
Gonesse 95500 (Les Marronniers - La Grande Vallée),49.0066,2.4722
Cergy 95000 (Orée du Bois),49.05,2.1
Saint-Gratien 95210 (Des Marais - La Terre aux Clercs),48.9735,2.2873
