,id_hourse,Addresse,Titre,Prix,Surface,Nb_piece,Nb_chambre,Parking,Jardin,Ascenseur,Terrasse,Garage,Prix_sur,Reference,Date_publication,Date_modification,Titre_description,Description
0,YV78_749,Juziers 78820,"Achat maison 6 pièces 143 m², Juziers - 475 000 €",475 000 €,143 m²,6 pièces,3 chambres,,Jardin,,,,3 322 €/m²,Réf. de l’annonce : 859325,Publiée le 28 nov. 2020,Modifiée le 1 déc. 2020,Descriptif de cette maison à vendre de 6 pièces et 143 m²,"Vente Maison/villa 6 pièces. iad France - Vincent DIEZ (Voir le téléphone ) vous propose : ***JUZIERS*** Maison d'exception en bords de Seine!
Maison bâtie en 1850 + atelier + double garage + jardin!
REZ-DE-CHAUSSÉE : entrée, séjour avec cheminée et accès terrasse, cuisine équipée, buanderie / cellier, wc et atelier.
1ER ÉTAGE : couloir desservant 2 chambres, salle d'eau, wc et une suite parentale comprenant une 3ème chambre + salle de bains privative. Les 3 chambres offrent de beaux volumes et bénéficient d'un balcon chacune.
ÉQUIPEMENTS : chauffage au gaz de ville, cheminée, double vitrage PVC, électricité récente, portail automatique, alarme, visiophone.
Beaucoup de cachet : parquets massifs, poutres apparentes.
EXTÉRIEURS : terrain de 2300m² environ clos et plat. Cabane d'enfant. Cadre unique, jolie vue sur la Seine. Expositions Sud et Ouest.
STATIONNEMENTS : plusieurs véhicules dans le jardin et garage double.
SECTEUR : très paisible et recherché. La maison est en zone protégée. Aucune nuisance à signaler.
École maternelle et primaire à 5 minutes à pied.
Collège (Gargenville) et lycée (Limay ou Mantes) à 10 minutes en voiture ou en transport.
Commerces et commodités à pied.
Gare de Juziers (ligne J) à 10 minutes à pied.
Accès A13 / A14 à 15 minutes en voiture.
Paris – porte Maillot à 45 min de voiture.
Horaires de visite adaptés à votre emploi du temps.
Honoraires d’agence à la charge du vendeur.Information d'affichage énergétique sur ce bien : DPE D indice 157 et GES E indice 36. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de M. Vincent DIEZ (ID 19431), Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de VERSAILLES sous le numéro 821022886.
Retrouvez tous nos biens sur notre site internet. (lien supprimé)"
1,YV78_750,Rambouillet 78120 (Villeneuve - Hippodrome),"Achat maison 8 pièces 270 m², Rambouillet - 540 800 €",540 800 €,270 m²,8 pièces,5 chambres,,Jardin,,,,2 003 €/m²,Réf. de l’annonce : 780269,Publiée le 28 nov. 2020,Modifiée le 6 déc. 2020,Descriptif de cette maison à vendre de 8 pièces et 270 m²,"Maison. À 20 minutes de Rambouillet, venez découvrir cette maison ancienne de 270 m2 habitables sur un terrain paysagé et clos de 2437 m2.
Elle offre de très grands volumes dont une pièce de vie de 70 m2 avec sa cheminée monumentale.
Au Rez-de-chaussée, vaste entrée avec placard daccueil, cuisine aménagée et équipée, salon / séjour, 5 chambres en rez-de-chaussée, dont une suite parentale avec salle de bain balnéo et douche, une salle de bain, une salle deau avec WC, un WC.
À létage, une grande pièce avec salle de cinéma et espace de jeux.
Sous sol de 120 m2 et buanderie.
Beaucoup de charme pour cette grande maison ancienne bâtie avec de beaux matériaux, au calme dune impasse.
Grand parking pour stationner plusieurs véhicules, piscine 10 m X 4,5 m avec préau et barbecue, espace potager avec abri de jardin.
Commerces, école maternelle et école primaire sur place, collège à 5 minutes.
Gare à 5 minutes pour Paris Montparnasse.
-----------------------------------------------------------------------
APPELEZ-MOI POUR UNE VISITE VIRTUELLE !
-----------------------------------------------------------------------
Pour tout renseignement complémentaire :
CIMM IMMOBILIER RAMBOUILLET - BELVEZET Philippe - Voir le téléphone RSAC N° 883 725 301 Ville du greffe : CHARTRES- Plus d'informations sur (réf. 780269) AGENT COMMERCIAL Honoraires charge vendeur"
2,YV78_751,Houilles 78800 (Les Belles-Vues),"Achat maison 6 pièces 145 m², Houilles - 490 000 €",490 000 €,145 m²,6 pièces,5 chambres,2 places de parking,Jardin,,,1 garage,3 210 €/m²,Réf. de l’annonce : VM780-MYPROPERTY,Publiée le 27 nov. 2020,Modifiée le 9 déc. 2020,Descriptif de cette maison à vendre de 6 pièces et 145 m²,"Maison à vendre Houilles. Située dans un quartier pavillonnaire à proximités des commodités. Découvrez cette maison familiale, elle se compose de la manière suivante : une entrée, une cuisine indépendante, un séjour avec cheminée, une salle de bains, un wc, 2 chambres. A l'étage : Un plateau de 74 m² qui peut être entièrement aménageable en 3 chambres et 1 salle de bains (dalle béton, belle hauteur sous plafond). Sous-sol semi enterré avec garage, buanderie, atelier et studio indépendant. Isolation intérieur et extérieur, chaudière et Toiture révisées récemment. Beau jardin répartit à l'avant et l'arrière de la maison. Pour plus d'informations, n'hésitez pas à contacter votre agence My Property au Voir le téléphone 
Mandat N° 1000488. Honoraires inclus de 5.26% TTC à la charge de l'acquéreur. Prix hors honoraires 465 500 €. Nos honoraires : Voir les barèmes des honoraires"
3,YV78_752,Condé-sur-Vesgre 78113,"Achat maison 8 pièces 190 m², Condé-sur-Vesgre - 650 000 €",650 000 €,190 m²,8 pièces,6 chambres,4 places de parking,Jardin,,Terrasse,,3 421 €/m²,,Publiée le 27 nov. 2020,Réf. de l’annonce : 249475.BDW,Descriptif de cette maison à vendre de 8 pièces et 190 m²,"Maison Condé Sur Vesgre 8 pièces 200 m2. William BARDOU vous propose au calme, entre Houdan et St Leger en Yvelines en lisière de forêt, découvrez cette charmante maison de 190 m² env. (toiture et isolation refaite en 2018), sur un terrain clos et arboré de 5680m² comprenant, une entrée, un salon/séjour de 44m² avec cheminée, une cuisine équipée, une suite parentale, un bureau. A l'étage: un palier, 3 chambres, deux salles de douches et wc.
Un studio indépendant de 25m² au dessus du garage.
Un garage double de 56m² en continuité de la maison.
Fenêtres double vitrage.
A l'extérieur: une terrasse plein sud, piscine de 10x6 couverte (ouverture électrique) et chauffée.
3 boxes à chevaux, un manège, un atelier de 25m².
Accès N12, écoles et commerces proches.
Prix de vente : 650000euros (honoraires charge vendeur)
Pour visiter et vous accompagner dans votre projet contacter William Bardou agissant sous le statut de conseiller immobilier auprès de la SAS Proprietes Privees, au Voir le téléphone ou par courriel à Contacter 
Mandat réf : 249475 - le professionnel sécurise votre projet immobilier. RSAC 487 624 777 SAS Proprietes Privees - Zac le chêne Ferré- 44, allée des cinq continents 44120 VERTOU, Carte professionnellle CPI 4401 2016 000 010 388 CCI Nantes-Saint nazaire."
4,YV78_753,Les Mureaux 78130 (Les Musiciens - Apremont),"Achat maison 5 pièces 103 m², Les Mureaux - 260 000 €",260 000 €,103 m²,5 pièces,4 chambres,1 place de parking,Jardin,,,,2 524 €/m²,Réf. de l’annonce : 1398504,Publiée le 27 nov. 2020,Modifiée le 30 nov. 2020,Descriptif de cette maison à vendre de 5 pièces et 103 m²,"MAISON. Uniquement chez FONCIA, LES MUREAUX, belle maison familiale située dans un quartier pavillonnaire.
Laissez vous charmer par cette maison de plain pied de plus de 100m² sur un beau terrain clos de 581m².
La maison se compose de 4 chambres avec rangements, d'un salon de plus de 30m² donnant directement sur le jardin arrière sans vis à vis et une cuisine indépendante.
Aucune difficulté pour vous garer avec son garage fermé pouvant accueillir 1 véhicule ainsi que 2 places supplémentaires dans l'allée."
5,YV78_754,Saint-Germain-en-Laye 78100 (Hennemont),"Achat maison 7 pièces 135 m², Saint-Germain-en-Laye - 670 000 €",670 000 €,135 m²,7 pièces,5 chambres,,Jardin,,,,4 815 €/m²,Réf. de l’annonce : 6733,Publiée le 5 déc. 2020,Modifiée le 6 déc. 2020,Descriptif de cette maison à vendre de 7 pièces et 135 m²,"Maison Saint Germain En Laye/Fourqueux, 7 pièces, 5 chambres.. SAINT GERMAIN EN LAYE/FOURQUEUX == En face du Lycée international , belle Maison de 7 pièces de 135 m² sur 324 m² de Terrain, comprenant : Entrée, cuisine aménagée et équipée, Séjour lumineux avec cheminée donnant sur agréable jardin exposé SUD/OUEST, salle à, manger, buanderie, toilettes, à l'étage : 5 chambres avec placards dont une avec salle de bains, une salle de douche, toilettes. Garage. Combles aménageables.
ENVIRONNEMENT CALME ET LUMINEUX. + 3.08 % honoraires de négociation TTC."
6,YV78_755,Mézières-sur-Seine 78970,"Achat maison 8 pièces 190 m², Mézières-sur-Seine - 259 900 €",259 900 €,190 m²,8 pièces,4 chambres,,Jardin,,,,1 289 €/m²,,Publiée il y a plus de 2 mois,Réf. de l’annonce : 6304,Descriptif de cette maison à vendre de 8 pièces et 190 m²,"Maison neuve en L SHON 220 m² élevée sur sous-sol total en cours de construction!. Proposition particulière :
Sur les hauteurs de Mézières sur Seine, ce projet dont le permis de construire est accepté
et les travaux au stade de la dalle de rez de chaussée est une opportunité rare de finaliser votre projet de construction en quelques mois!
Le permis a fait l'objet d'une modification pour créer 2 maisons d'habitations en vue d'un investissement locatif. (permis modificatif possible)
Le sous-sol et l'avancement actuel permettent d'adapter le projet à vos envies personnelles dans une surface de 200 m² de SHON!
Les fondations sont renforcées selon les préconisation du bureau d'étude.
Plus d'information : appeler Jean-Baptiste Voir le téléphone dont 6.08 % honoraires TTC à la charge de l'acquéreur."
7,YV78_756,Houilles 78800 (Les Belles-Vues),"Achat maison 3 pièces 140 m², Houilles - 549 900 €",549 900 €,140 m²,3 pièces,2 chambres,2 places de parking,Jardin,,Terrasse,,3 928 €/m²,,Publiée le 27 nov. 2020,Réf. de l’annonce : 15370,Descriptif de cette maison à vendre de 3 pièces et 140 m²,"Maison style loft en parfait état de 140m2 avec jardin et parkings. Equinimo, 10 ans d'expérience et une commission fixe de 6 500€, vous propose à la vente cette maison individuelle style loft, en parfait état de 140m² avec jardin et parkings, située à proximité des transports, écoles et commerces.
Ce bien se compose:
- Au rez-de-chaussée : d'une entrée avec rangements, d'un séjour-cuisine ouverte et aménagée de 70m², donnant sur une jardin de 80m², d'un coin bureau en mezzanine, d'une salle de bains, d'une buanderie ainsi que d'un wc indépendant.
- A l'étage : de 2 chambres avec rangements de 14m², 15m², ainsi que d'un WC indépendant.
Le bien dispose notamment de fenêtres en double vitrage, de nombreux rangements ainsi que d'un double box.
Le ravalement ainsi que la toiture sont récents.
Le chauffage et l'eau chaude sont individuels et au gaz.
La taxe foncière 2019 est de 1399 euros.
Plus d'informations sur notre site Equinimo: visite virtuelle, plan, etc.."
8,YV78_757,Rambouillet 78120 (Centre-ville),"Achat maison 13 pièces 460 m², Rambouillet - 2 400 000 €",2 400 000 €,460 m²,13 pièces,6 chambres,,Jardin,,Terrasse,,5 217 €/m²,,Publiée le 27 nov. 2020,Réf. de l’annonce : 1139,Descriptif de cette maison à vendre de 13 pièces et 460 m²,"Villa de prestige Art déco signé Pierre Petit de 460m² sur parc. BRISTOL IMMOBILIER : du standing au prestige, vous propose cette somptueuse propriété ART DECO de 1939, signée par l?architecte décorateur-ensemblier Pierre PETIT, sur commande, dont une partie de l?oeuvre originale fut exposée à l?exposition universelle de Paris en 1937 sur le thème «Rendez-vous de chasse et de pêche ». Entièrement décorée par de nombreux artistes contemporains de leurs temps, on y trouve des signatures tel que Henri DIEUPART (Fresquiste) ayant réalisé une fresque monumentale dans l?entrée principale, ou encore les sculptures de Georges-Lucien GUYOT et Jean René DEBARRE, Jean PERZEL (Luminaires), Raymond SUBES (ferronnier d?art), Louis Gigou (serrurier d?art), GENET-MICHON (luminiéristes) et Jean Joseph Kef Ray (Verrier). La maison, sur quatre niveaux et sous-sol total, offre près de 460 m² habitables et s?ouvre sur une entrée monumentale et somptueuse, un séjour de 53 m² avec cheminée et terrasse avec vue sur le parc, le petit salon (avec terrasse), cuisine (et son office), 6 chambres dont 1 suite parentale de 45m² (avec salle de bain, dressing et terrasse privée), une salle de billard, une entrée de service, une salle de réception, bureaux et nombreuses autres pièces aménageables à convenance. Sur un parc clos et arboré de 3,5 hectares à l?abri total des regards, avec court de tennis (surface à rénover), deux box à chevaux et sa carrière, garage double sécurisé, potager, et son authentique théâtre d?époque inspiré Louis Lumière (avec scène tournante, et décorations d?origine). L?ensemble est agrémenté de son mobilier Art déco d?origine (1937), pour la plupart référencé, book photographique de l?exposition universelle à l?appui et de nombreuses oeuvres signées et numérotées. Les matériaux utilisés pour l?habillage des sols, murs ou plafonds sont également des prestations artistiques (murs en stucs polis, sols en mosaïques de verre ou de marbre, parquet chêne, béton «translucide», vitraux, verre églomisé, etc). Nonobstant, il est important de noter que quelques améliorations lui ont été apportées pour lui faire passer encore de nombreuses décennies, notamment le raccordement à l?eau courante (en plus de la station de pompage puisant directement en nappe phréatique), et la mise aux norme de l?électricité, entre autres. C?est ainsi une propriété familiale hors du commun qui vous est proposée, vous invitant à faire un saut dans l?histoire, et s?adressant aux amateurs d?art architectural et du design contemporain des années 30. Située à 10 minutes de Rambouillet, 30 minutes de Versailles, et 50 minutes de Paris. Une offre exceptionnelle à 10 minutes de Rambouillet, pour au moins 4 raisons : 1. VILLA prestigieuse hors du commun (son histoire et son style art déco en font une véritable oeuvre d?art qui s?habite et se contemple); 2. Espaces et volumes (près de 460m² aménageables à convenance, grandes hauteurs sous plafond, toutes expositions, et nombreuses dépendances pour un total de 660m² au sol); 3. Prestations de belle facture (mobilier d?époque art déco vendu avec la propriété, oeuvres d?art décoratives pour la plupart signées et numérotées, matériaux d?architectures prestigieux ( Sols, murs, plafonds); 4. Villa aux normes (ballons d?eau chaude 600 L récent, raccordement à l?eau courante, électricité conforme, chauffage fioul peu gourmand, cuve 17.000L), conformité assainissement en cour) Venez vivre un bout d?histoire. Visites et informations sur dossier (Confidentialité garantie) Votre conseiller Florian CHEVRIER Tél : Voir le téléphone ). BRISTOL IMMOBILIER, les plus belles offres du marché."
9,YV78_758,Meulan-en-Yvelines 78250,"Achat maison 6 pièces 100 m², Meulan-en-Yvelines - 315 000 €",315 000 €,100 m²,6 pièces,4 chambres,,Jardin,,,,3 150 €/m²,Réf. de l’annonce : 644,Publiée le 27 nov. 2020,Modifiée le 9 déc. 2020,Descriptif de cette maison à vendre de 6 pièces et 100 m²,"Maison familiale de 100m2, 4 chambres. Grande maison familiale d'environ 100 m², élevée sur sous-sol total, au calme dans un secteur résidentiel, comprenant au rez-de-chaussée, un double séjour, une cuisine indépendante, 2 chambres et une salle d'eau, un wc. A l'étage, deux chambres. Edifiée sur un terrain clos et arboré d'environ 1500 m². Accès rapide autoroute A 15 et RER Cergy."
