Unnamed: 0.1,id_house,Addresse,Titre,Prix,Surface,Nb_piece,Nb_chambre,Parking,Jardin,Ascenseur,Terrasse,Garage,Prix_sur,Reference,Date_publication,Date_modification,Titre_description,Description
0.0,VM94_0,Champigny-sur-Marne 94500 (Le Plateau),"Achat maison 7 pièces 161 m², Champigny-sur-Marne - 478 000 €",478 000 €,161 m²,7 pièces,5 chambres,2 places de parking,Jardin,,,Garage,2 969 €/m²,,Publiée il y a plus de 2 mois,Réf. de l’annonce : 0085,Descriptif de cette maison à vendre de 7 pièces et 161 m²,"A vendre : Grande Maison familiale indépendante entièrement rénovée d'une superficie au sol de 198 m² et de plus de 160 m2 habitables. Elle comprend : entrée avec placards, grand double séjour traversant et lumineux donnant sur balcon, cuisine équipée et aménagée, une chambre/bureau, une salle d'eau et un WC indépendant. Au premier étage : mezzanine, suite parentale avec dressing, salle de bains et balcon, deux chambres, salle de bains, WC indépendants , pièce de rangement. Combles aménagés avec un bureau, une grande et belle chambre et de nombreux rangements.
Le sous-sol sur-élevé aménagé se compose d'une cuisine d'été avec accès sur jardin, d'une pièce pouvant servir de salle de jeux, d'une salle d'eau et de WC indépendants. Le sous-sol situé en rez-de-jardin peut être aménagé en logement ou peut convenir à une profession libérale. Garage deux places + places extérieures possibles dans le jardin.
Jardin arboré.
Chaudière et électricité récentes.

Visite virtuelle disponible sur demande.

Situé dans un quartier résidentiel de Champigny. Proche du RER E de Villiers sur Marne - Le Plessis Trévise et du RER de Champigny - Saint Maur, ainsi que de toutes les commodités (commerces, écoles, ...).

Cette maison vous est proposé, à l'achat, par l'agence ERA Rives de Marne immobilier."
1.0,VM94_1,Le Kremlin-Bicêtre 94270 (Mairie - Salengro),"Achat maison 7 pièces 210 m², Le Kremlin-Bicêtre - 1 350 000 €",1 350 000 €,210 m²,7 pièces,4 chambres,,Jardin,,,,6 429 €/m²,Réf. de l’annonce : 1774,Publiée le 6 nov. 2020,Modifiée le 19 nov. 2020,Descriptif de cette maison à vendre de 7 pièces et 210 m²,"LE KREMLIN BICÊTRE, MAISON 210 m² - QUARTIER MAIRIE. Au coeur du quartier de la Mairie, sur rue calme, cette maison offre des prestations hors normes avec un sous-sol de 300 m², garages au rez-de-chaussée et surface habitable de 210 m² sur les 2 niveaux supérieurs.
Travaux à prévoir.
Grande cour à l'arrière, le tout sur une parcelle de 352 m²"
2.0,VM94_4,Nogent-sur-Marne 94130 (Beauté Baltard),"Achat maison 6 pièces 280 m², Nogent-sur-Marne - 1 749 000 €",1 749 000 €,280 m²,6 pièces,5 chambres,,,,,,6 071 €/m²,,Publiée le 1 nov. 2020,Modifiée le 25 nov. 2020,Descriptif de cette maison à vendre de 6 pièces et 280 m²,"Maison de 6 pièces de 280m2 avec jardin à Nogent Sur Marne. A 5minutes du centre ville des commerces, du marché et des écoles, à 12 minutes du RER A Nogent sur Marne .
Sur une parcelle de 467m2 , Maison en R+2 d'une surface de 280m2 comprenant au RDC une entrée ,Un double séjour Exposé Sud-Ouest donnant sur une terrasse et un jardin d’une surface de 200m2 , une cuisine semi-ouverte aménagée et équipée donnant aussi sur la terrasse , un bureau.
Au 1er étage : 3 belles chambres dont une avec salle de bains , une salle de bains indépendantes et un wc Indépendant . 
Au 2 éme étage : une chambre sur 30 m2 de combles.
Au Sous-sol : Une chambre avec salle de douche et WC ,un coin buanderie-chaufferie et une salle de musique . .
Une Cave Bétonnée ,un garage double et un emplacement de parking complètent cette jolie maison . 
Maison sans vis à vis , vue dégagée ,lumineuse 
A VISITER RAPIDEMENT
Exclusivité Moriss Immobilier 

Moriss immobilier, aujourd'hui reconnu comme acteur majeur de l'immobilier parisien grâce a son réseau unique de 11 agences et 80 collaborateurs sur paris et proche banlieue, rassemblés sous le célèbre logo beige et noir. 
Moriss immobilier, la bonne adresse pour trouver la votre."
3.0,VM94_5,Créteil 94000 (Buttes - Halage),"Achat maison 5 pièces 140 m², Créteil - 839 000 €",839 000 €,140 m²,5 pièces,4 chambres,4 places de parking,Jardin,,,,5 993 €/m²,Réf. de l’annonce : 003027E1RE01,Publiée le 27 nov. 2020,Modifiée le 28 nov. 2020,Descriptif de cette maison à vendre de 5 pièces et 140 m²,"Maison 5 pièce(s) 140 m2. Rare sur le secteur, Créteil limite Maisons-Alfort, quartier du Halage, secteur pavillonnaire très calme. Sur un terrain de 350m2 une maison moderne construite en 2005, élevée sur un sous-sol de 100m2 divisé garage (3 véhicules), buanderie, une pièce. Rez de chaussée surélevé, entrée avec placard, wc, chambre avec balcon de 2.80m, cuisine aménagée et équipée donnant sur une belle pièce à vivre de 39 m2 avec cheminée et double accès par baies vitrées sur une terrasse de 33m2 soit un plateau de 72m2 exposé sud ouest donnant sur jardin arboré. A l'étage, palier desservant trois chambres dont une avec dressing, une salle de bain avec baignoire balnéo et une salle d'eau avec wc . (Portail électrique, aspirateur centralisé). A pied RER A St Maur / Grand Paris, écoles, commerces. En voiture, gare de Lyon par voie express en 16 min. Piste cyclable desservant Paris à proximité. Coup de coeur assuré"
4.0,VM94_6,Saint-Maur-des-Fossés 94100 (Adamville),"Achat maison 10 pièces 230 m², Saint-Maur-des-Fossés - 1 050 000 €",1 050 000 €,230 m²,10 pièces,6 chambres,,Jardin,,,,4 565 €/m²,Réf. de l’annonce : RG11,Publiée le 15 oct. 2020,Modifiée le 21 nov. 2020,Descriptif de cette maison à vendre de 10 pièces et 230 m²,"Vente : maison 10 Pièces, 6 chambres à SAINT MAUR DES FOSSES. EXCLUSIVITÉ - MAISON 10 PIÈCES AU CALME
MAISON ANCIENNE RARE SUR LE SECTEUR
Dans la ville de SAINT MAUR DES FOSSES ,venez découvrir cette maison de 10 pièces au calme de 230 m². Elle s'agence comme suit : Au rez-de-chaussée : un double séjour (avec cheminée) de 35 m² et un petit salon (ou bureau), le tout ouvert sur une terrasse avec jardin exposée plein ouest, une buanderie, un wc et une salle d'eau. Cuisine ouverte sur terrasse et jardin.
Au 1er étage, 3 chambres dont 2 avec cheminée, une suite parentale avec dressing, une salle de bains avec double vasque, baignoire douche et un wc.
Au 2è étage, 3 chambres dont une avec mezzanine, de nombreux rangements. Possibilité de créer une seconde salle d'eau.
Idéal pour se détendre au soleil, cette maison bénéficie d'un jardin. Le terrain de la propriété s'étend sur 640 m². Pour davantage de rangements, ce bien est vendu avec une cave à vin voûtée en pierres.
C'est une maison de 2 étages de haut standing. Elle a été construite en 1870. Cette maison est en bon état général.
La propriété possède également un garage.
Le bien est proche de toutes commodités : il se trouve à 500 mètres des commerces et à cinq minutes des écoles. L'arrêt de bus se situe à deux minutes du bien. Pour vos loisirs, vous pourrez compter sur le cinéma Le Lido de même qu'un théâtre et un conservatoire dans les environs. On trouve également de nombreux restaurants et un bureau de poste. Enfin un marché anime le quartier toutes les semaines.
Cette maison de 10 pièces est proposée à l'achat pour 1 050 000 (honoraires à la charge du vendeur).
Visite virtuelle disponible!
Prenez contact avec Romain GIUNTA, Agent Commercial immatriculée au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de Créteil sous le numéro 881 406 730
Réf: RG9"
5.0,VM94_7,Maisons-Alfort 94700 (Charentonneau),"Achat maison 4 pièces 85 m², Maisons-Alfort - 488 000 €",488 000 €,85 m²,4 pièces,3 chambres,,Jardin,,1 terrasse,1 garage,5 741 €/m²,Réf. de l’annonce : TMAI115561,Publiée il y a plus de 2 mois,Modifiée le 20 nov. 2020,Descriptif de cette maison à vendre de 4 pièces et 85 m²,"Maison F4 en vente à Maisons-Alfort - EXCLUSIVITÉ AGENCE CITYA LAXE IMMOBILIER
Visite virtuelle : Voir la visite virtuelle 

A DEUX PAS DE LA PLACE RENÉ COTY ET DE TOUS SES COMMERCES !!!!
Vous profiterez d'une maison de 90 m² environs avec terrasse exposé sud /est sur le devant et un jardin sur l'arrière (de 38m²) à 13 minutes du métro ligne 8 Maisons-Alfort LES JUILLIOTTES.
Venez découvrir cette maison de 4 pièces comprenant un sous sol avec garage ( pour petite voiture) , chaufferie, pièce aménageable avec fenêtre .
Au rez de chaussée, une entrée, un salon, un séjour (15m²) avec insert électrique pour les soirées d'hiver, une cuisine et un jardin d'hiver sur l'extérieur, wc.
a l'étage, vous trouverez un couloir, 2 chambres, un bureau ( possible chambre bébé), salle de bains avec wc, dressing.
Des travaux de rénovation sont à prévoir mais beau potentiel d'aménagement avec les murs non porteurs ( agrandissement salon )
Tous les types d'établissements scolaires ( école RASPAIL et collège CONDORCET ) se trouvent à moins de 10 minutes de la maison. 
On vous attends pour une visite. Honoraires à la charge du vendeur. Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante : Voir les barèmes des honoraires"
6.0,VM94_8,Vitry-sur-Seine 94400 (Stalingrad),"Achat maison 5 pièces 100 m², Vitry-sur-Seine - 636 000 €",636 000 €,100 m²,5 pièces,,,Jardin,,,,6 000 €/m²,Réf. de l’annonce : D282BUBI,Publiée il y a plus de 2 mois,Modifiée le 8 déc. 2020,Descriptif de cette maison à vendre de 5 pièces et 100 m²,"VITRY-SUR-SEINE - COTEAU MALASSIS - MAISON DE 98 M² COMPOSÉE DE 5 STUDIOS DE 19M². VITRY SUR SEINE - COTEAU MALASSIS - LIMITE IVRY SUR SEINE - IDEAL INVESTISSEURS - Situé à 10 mn à pied du métro Paul Vaillant Couturier (Ligne 7), à 300 m du Futur Tramway T9, du bus 183 et des commerces, venez découvrir cet ensemble immobilier en bon état composé de 5 appartements 1 pièce de 19 m² (3 baux locatifs en cours). Vous y trouverez au rez de chaussée: 3 studios donnant sur une cour commune et comprenant chacun une pièce de vie, une cuisine aménagée et une salle d'eau avec WC. A l'étage: 2 studios similaires de 19 m² donnant sur un balcon filant.
Nous avons intégré une proposition d'aménagement 3D réalisée par un architecte d'intérieur pour illustrer tout le potentiel de ces appartements.
Pour plus d'informations et une présentation de ce produit, contactez-nous sans tarder!
Les biens ci-avant désignés représentant les lots n°3, 4, 5, 6, 7, 8 de la copropriété qui comporte 6 lots. La moyenne des charges courantes annuelles pour ces lots est de 0 €. Procédure contre le syndicat : Non"
7.0,VM94_9,Créteil 94000 (Bleuets - Bordières - Pinsons),"Achat maison 5 pièces 130 m², Créteil - 559 000 €",559 000 €,130 m²,5 pièces,3 chambres,,Jardin,,1 terrasse,,4 300 €/m²,,Publiée il y a plus de 2 mois,Réf. de l’annonce : TMAI113380,Descriptif de cette maison à vendre de 5 pièces et 130 m²,"MAISON LIMITE MAISONS ALFORT PROCHE DU METRO L8 LES JUILLIOTTES - A moins de 5 minutes du métro ligne 8 Maisons Alfort les juilliottes (à 200 m) et à deux pas du CENTRE COMMERCIAL LES JUILLIOTTES ( INTERMARCHÉ, boulangerie, restaurant, coiffeur... ) 
Des établissements scolaires de tous niveaux (de la maternelle au lycée) se trouvent à moins de 10 minutes du bien.

L'agence CITYA LAXE IMMOBILIER vous propose en exclusivité, une belle maison de plus de 130 m² sur une parcelle de 160 m² ensoleillé toute la journée !!!

Vous profiterez d'un beau jardin paysagé et d'une belle terrasse sur l'arrière de la maison.
La maison dispose de 2 niveaux avec au rez de chaussée, une entrée,un séjour double avec cheminée , une cuisine équipée et une véranda ( belle vue sur le jardin ), WC.
Au premier étage, 2 chambres et un bureau ( possible petite chambre) et une salle de bain. 
Au second étage, une grande chambre sous comble.
Un sous sol total avec chaufferie ( chaudière gaz), complète ce bien. 
On vous attend pour une visite !!!

Votre agence LAXE IMMOBILIER vous invite à découvrir toutes les originalités de cette maison en vente en prenant rendez-vous avec l'un de nos conseillers immobiliers. Honoraires à la charge du vendeur. Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante : Voir les barèmes des honoraires"
8.0,VM94_10,Champigny-sur-Marne 94500 (Le Bois l'Abbe - Coeuilly),"Achat maison 5 pièces 139 m², Champigny-sur-Marne - 499 000 €",499 000 €,"139,27 m²",5 pièces,3 chambres,,Jardin,,,,3 583 €/m²,Réf. de l’annonce : 11717,Publiée le 4 déc. 2020,Modifiée le 5 déc. 2020,Descriptif de cette maison à vendre de 5 pièces et 139 m²,"CHAMPIGNY SUR MARNE Dans le quartier de Coeuilly, maison indépendante de 1996 parfaitement entretenue. Elle vous offre de plain-pied : un spacieux espace jour avec une cuisine entièrement équipée et une cheminée, une chambre, une salle d'eau, un dégagement, une buanderie et un wc. A l'étage un grand palier dessert 2 grandes chambres, une salle d'eau avec un wc et de nombreux rangements. A l'extérieur vous profiterez de deux chalets aménagés et chauffés avec cuisine équipée, un atelier, une buanderie et un wc. Un large accès à la propriété permet de rentrer tous types de véhicules. Le tout est édifié sur un terrain de 507 m² parfaitement clos. Sa situation, au calme, ses prestations et ses possibilités sauront vous séduire."
9.0,VM94_11,Champigny-sur-Marne 94500 (Quatre Cités - Simonettes),"Achat maison 7 pièces 196 m², Champigny-sur-Marne - 790 000 €",790 000 €,196 m²,7 pièces,5 chambres,4 places de parking,Jardin,,,,3 932 €/m²,Réf. de l’annonce : 003908E1QM6F,Publiée le 10 nov. 2020,Modifiée le 17 nov. 2020,Descriptif de cette maison à vendre de 7 pièces et 196 m²,"Maison Champigny Sur Marne 7 pièce(s) 196 m2. En exclusivité, tout proche du Centre-Ville, secteur apprécié pour ses écoles et transports à proximité, Orpi vous propose une maison familiale composée au rez de chaussée : d'un espace de vie convivial d'environ 60m² donnants de plain-pied sur une terrasse avec son jardin agréable, une cuisine aménagée équipée, deux chambres, une salle de bain. Au 1er étage une suite parentale avec espace dressing attenant et sa salle d'eau ainsi qu'une autre chambre équipée aussi d'une salle d'eau. Au sous-sol un espace de vie total avec une salle d'eau, une chambre spacieuse, ainsi qu'une salle de sport viendra s'ajouter a cette maison de 239 m2 hors loi Carrez. . Vous disposez en complément d'un garage fermé et des belles prestations domotique."
10.0,VM94_12,Saint-Maur-des-Fossés 94100 (Adamville),"Achat maison 6 pièces 150 m², Saint-Maur-des-Fossés - 1 100 000 €",1 100 000 €,150 m²,6 pièces,4 chambres,3 places de parking,Jardin,,,,7 333 €/m²,Réf. de l’annonce : 003055E1QB3R,Publiée le 20 oct. 2020,Modifiée le 18 nov. 2020,Descriptif de cette maison à vendre de 6 pièces et 150 m²,"Maison récente Saint Maur Des Fosses 6 pièces 150 m2. Maison située dans petite rue au calme édifiée en 2019 .. Rez de chaussé se composant d'une entrée, un séjour double double donnant sur terrasse et jardin, une cuisine équipée, une chambre ainsi qu'un WC séparé. . Au premier: 3 chambres dont une suite parentale avec espace dressing, salle d'eau et WC, salle de bains avec douche, WC.. Sous sol total avec grande buanderie, salle d'eau WC, garage pour 2/3 voitures. . Visite virtuelle et visite 360°. Voir la visite virtuelle"
11.0,VM94_13,Vitry-sur-Seine 94400 (Plateau),"Achat maison 7 pièces 133 m², Vitry-sur-Seine - 625 900 €",625 900 €,133 m²,7 pièces,4 chambres,1 place de parking,Jardin,,,1 garage,4 436 €/m²,Réf. de l’annonce : D305UBI,Publiée le 14 oct. 2020,Modifiée le 8 déc. 2020,Descriptif de cette maison à vendre de 7 pièces et 133 m²,"VITRY-SUR-SEINE - LE PLATEAU - MAISON 7 PIECES 133m². Idéal investisseurs. Dans un secteur recherché pour son calme, à seulement 15mn à pieds du métro Villejuif Louis Aragon, venez découvrir cette grande maison de 133m2 sur une parcelle de 287m2 divisée en trois appartements. Le premier appartement de 43m2 situé au rez-de-chaussée se compose d'une pièce principale avec cuisine ouverte, d'une chambre, puis d'une salle d'au avec W-C. Au premier étage, le second appartement est constitué de trois pièces principales de 44m2 dont un séjour et cuisine ouverte, deux chambres puis une salle d'eau avec W-C. Le troisième et dernier appartement de deux pièces est situé en souplex, d'une surface de 45m2, il se compose d'une entrée, une pièce de vie avec cuisine ouverte, une chambre, puis une salle d'eau avec W-C. Agréable jardin et garage. Pas de travaux à prévoir. A voir rapidement !"
12.0,VM94_14,Le Plessis-Trévise 94420 (Marbeau - Coeuilly),"Achat maison 7 pièces 180 m², Le Plessis-Trévise - 759 000 €",759 000 €,180 m²,7 pièces,4 chambres,5 places de parking,Jardin,,,,4 136 €/m²,Réf. de l’annonce : 003023E1OWOZ,Publiée il y a plus de 2 mois,Modifiée le 8 déc. 2020,Descriptif de cette maison à vendre de 7 pièces et 180 m²,"Maison Le Plessis Trevise 7 pièce(s) 170 m2. Le Plessis Trévise proche des commerces et écoles cette magnifique maison moderne des années 2000 située dans un quartier calme et recherché vous propose :. Au rez-de-chaussée : Une entrée avec rangements, un triple séjour-salle a manger exposition SUD/OUEST avec accès terrasse et jardin sans vis à vis dans un écrin de verdure, une grande cuisine aménagée et équipée avec ilôt central , une chambre, un WC . . Au 1er étage : Un grand dégagement avec rangements qui dessert 3 chambres dont une suite parentale avec dressing et salle de bains, une salle d'eau indépendante et un WC.. Un SOUS-SOL TOTAL. GRAND GARAGE . Le tout édifié sur un terrain de 550 m² . JARDIN et TERRASSE SANS VIS A VIS . Lien Visite Virtuelle: Voir la visite virtuelle . . . ."
13.0,VM94_15,Chennevières-sur-Marne 94430 (Marne - Coteau Nord),"Achat maison 5 pièces 125 m², Chennevières-sur-Marne - 589 000 €",589 000 €,125 m²,5 pièces,3 chambres,,Jardin,,,,4 512 €/m²,Réf. de l’annonce : 558,Publiée il y a plus de 2 mois,Modifiée le 21 oct. 2020,Descriptif de cette maison à vendre de 5 pièces et 125 m²,"Maison d'architecte. VISITE VIRTUELLE SUR DEMANDE.
COLDWELL BANKER RIVE SUD, votre agence spécialisée dans l'immobilier de prestige, vous propose en EXCLUSIVITÉ cette maison d’architecte en plein cœur du quartier du Coteau Nord de la commune de Chennevières-sur-Marne.

Dans une rue calme, cette maison de qualité construite en 2014, de 125m² habitable sur deux niveaux, bâtie sur une parcelle de 250m², vous séduira lors de votre visite par son agencement et la qualité de ses prestations intérieures.

Vous démarrerez cette visite par un magnifique salon- salle à manger de 35m² et sa cuisine ouverte équipée de 18m², ouvrant sur un jardin calme aménagé de 75m² sans vis à vis. Une buanderie complète ce niveau.
Vous continuerez votre visite au 1er étage où vous profiterez de 2 chambres de 11.50m² avec une belle hauteur sous plafond ainsi qu’une salle de bain. 
Enfin vous découvrirez à cet étage une magnifique suite parentale d’une surface de 30m² avec salle d’eau et dressing. 
Vous pourrez enfin profiter d’un espace extérieur de 88 m² permettant de garer deux voitures avec portail électrique.
Cette maison bénéficie de prestations de qualités avec double vitrage, volets électriques et domotique. 
A découvrir !"
14.0,VM94_16,Mandres-les-Roses 94520,"Achat maison 5 pièces 118 m², Mandres-les-Roses - 419 500 €",419 500 €,118 m²,5 pièces,3 chambres,2 places de parking,Jardin,,,,3 390 €/m²,Réf. de l’annonce : 098906E1MBXS,Publiée il y a plus de 2 mois,Modifiée le 27 nov. 2020,Descriptif de cette maison à vendre de 5 pièces et 118 m²,"Maison Mandres Les Roses 5 pièce(s) 118 m2 - 3 chambres. A vendre - maison de cinq pièces, trois chambres sur un terrain de 363 m².. Maison pleine de charme, au calme et sans vis-à-vis composée de: . -Au rez-de-chaussée, séjour (accès direct sur terrasse), salle à manger, wc, , cuisine, buanderie.. -A l'étage, une suite parentale avec salle d'eau, deux chambres, une salle de bains avec wc.. Terrain clos de murs, un appentis, un abris de jardin, une terrasse (plein Sud).. Stationnement possible pour deux ou trois voitures.. A 7 minutes à pied du centre ville de Mandres les Roses, à 10 minutes en bus ou à 5 minutes en voiture du RER D (Station de Brunoy)"
15.0,VM94_17,Créteil 94000 (Val de Brie),"Achat maison 4 pièces 90 m², Créteil - 488 000 €",488 000 €,90 m²,4 pièces,3 chambres,1 place de parking,Jardin,,1 terrasse,,5 422 €/m²,,Publiée il y a plus de 2 mois,Réf. de l’annonce : 1481,Descriptif de cette maison à vendre de 4 pièces et 90 m²,"CRETEIL/PROCHE RUE PIETONNE. CRETEIL/ PROCHE RUE PIETONNE
Dans secteur pavillonnaire au calme, pavillon des années 1950 d'environ 90m2 en bon état général, bien agencé et très agréable à vivre sur parcelle de 167m2 , composé au RDC d'un séjour cuisine ouverte aménagée et équipée donnant sur terrasse, grande chambre avec dressing aménagé, une SDB avec baignoire et cabine de douche , toilettes séparés, une buanderie, au 1er étage , un dégagement avec espace bureau, 2 chambres avec petite pièce de coté mansardée, un cabinet de toilettes.
Maison élevée sur sous sol total avec accès intérieur et escalier donnant sur un Jardin sans vis a vis avec espace pour véhicule automobile ou moto. Coup de coeur assuré pour cette maison pleine de charme à découvrir rapidement."
