Departement,Local,Price,Surf,Nb_Pieces,Nb_Chambres,Description
94130.0,Nogent-Sur-Marne,655000.0,87 ,4 ,2,"A 10 min du RER E, et à 15 min à pied du RER A Val de Fontenay, Bus à côté et à 7 min du centre ville à pied avec tous les commerces, écoles, marché, cinéma, théâtre, équipements sportifs, bois de..."
77500.0,Chelles,225000.0,62 ,3 ,2,"Beau 3 pièces très lumineux de 62, 08 m² exposé Sud Ouest dans une résidence de standing sécurisée construite en 2009 au cœur du centre ville et proche gare.Composé d'une entrée avec placard, une..."
75016.0,Paris 16E,980000.0,86 ,4 ,2,"Quartier bourgeois. Au calme. A proximité des commerces, transports, écoles et de toutes les commodités.Dans un bel immeuble haussmannien de 7 étages, avec gardien et sécurisé avec clé magnétique...."
75012.0,Paris 12E,890000.0,80 ,4 ,2,"Quartier Daumesnil/Dugommier, à proximité de toutes commodités et de nombreux commerces, des écoles. Proche du Bois de Vincennes et du Parc de Bercy, à 4 min des métros, nombreux transports en bus...."
75019.0,Paris 19E,298000.0,,1 ,30m2,"Studio 30 m², refait à neuf ! cuisine séparée, avec double balcon, cave, parking et rangement.Lumineux et spacieux !Au 3ème étage d'un immeuble entretenu dans une résidence sécurisée.Possibilité..."
75013.0,Paris 13E,349000.0,,1 ,30m2,"A 2 min à pied du parc Montsouris et à la limite 13ème / 14ème arrondissements, à 5 min de la Butte aux Cailles, 8 min du métro Glacière (ligne 6), 10 min de Cité Universitaire RER B et du Tramway..."
77120.0,Coulommiers,117000.0,36 ,2 ,1,"A 30 min de Meaux en voiture et 20 min de La FertésousJouarre.Appartement 2 pièces de 36 m² au 1er étage comprenant une grande entrée, un séjour exposé est avec coin cuisine intégré, une chambre,..."
92210.0,Saint-Cloud,615000.0,72 ,3 ,2,"Place de l'Eglise  Saint Cloud Village Très Rare!En plein coeur du village, à proximité des écoles et commerces, à 5 min à pied du tram et du train & 2 min de l'A13, A12 et de la N118.**Très..."
93260.0,Les Lilas,378000.0,62 ,4 ,2,"Au pied du métro Mairie des Lilas  dans une rue paisible  appartement traversant de 61,92 m². 3 pièces situé au rezdechaussée d'un immeuble 1900.Il se compose d'une entrée (8,74 m²), d'un séjour..."
94270.0,Le Kremlin-Bicêtre,530000.0,81 ,3 ,2,"A deux pas du métro KremlinBicêtre (ligne 7), Paris à 5 minutes. Proche des transports, des écoles, du CHU, de la salle de sport Neoness, des commerces (boulangeries, boucheries, Leclerc, Naturalia,..."
75018.0,Paris 18E,224000.0,,1 ,25m2,"Idéal investisseur, pied à terre parisien ou premier appartement.Studio refait à neuf en 2014, 25.1m², 16ème étage/27, 4 ascenseurs.Orienté Ouest : couchés de soleil, vue dégagée sur le ciel,..."
,Vente appartement neuf Bussy-Saint-Georg,,,,,"Green Life.À 25 km à l'est de Paris, à moins de 10 km du parc d'attractions deDisneyland, BussySaintGeorges peut s'enorgueillir d'avoir bénéficié cesdernières années de la plus forte croissance à..."
95130.0,Franconville,219000.0,57 ,3 ,2,"Quartier ""Les Coteaux"", plein centre ville.A proximité immédiate des commerces, boulangerie, supermarché, transports, écoles et de toutes les commodités.Dans un immeuble récent de 2015, belle..."
,Quartier Abess,320000.0,23 ,2 ,1,"Dans une rue typique du Haut Montmartre : rue Berthe, située entre la rue des Abbesses et le Sacré Cœur à 5min, quartier très commerçant, à 3 min du métro ligne 12.Appartement 2 pièces de 23 m2..."
92200.0,Neuilly-Sur-Seine,875000.0,70 ,3 ,2,"A 3 min à pied de Pont de Neuilly et Les Sablons.Neuilly Roule Peretti Mairie.Au sein d'une résidence sécurisée de grand standing, Appartement 2/3 pièces de 70 m² au 3ème étage, ascenseurs,..."
75005.0,Paris 5E,945000.0,70 ,3 ,1,"Dernier étage 70m2 au sol.Dans une copropriété bien tenue de type Haussmann, appartement refait avec gout, où l'on se sent extrêmement bien, adresse boulevard Saint Germain.A 100m des quais pour..."
75013.0,Paris 13E,430000.0,38 ,2 ,1,"**Dernier étage lumineux, à proximité de la Butte aux Cailles**Charmant appartement de 2 pièces, 38,5m2, au 7ième et dernier étage avec ascenseur. Composé d'une chambre et d'un séjour agrémentés..."
75008.0,Paris 8E,995000.0,53 ,2 ,1,"Station RER A Charles Étoile RER et métros 1 et 9.Immeuble récent de très bon standing, aux parties communes bien entretenues et idéalement situé à proximité des ChampsElysées.Appartement de..."
75012.0,Paris 12E,890000.0,80 ,4 ,2,"Quartier Daumesnil/Dugommier, à proximité de toutes commodités et de nombreux commerces, des écoles. Proche du Bois de Vincennes et du Parc de Bercy, à 4 min des métros, nombreux transports en bus...."
75019.0,Paris 19E,298000.0,,1 ,30m2,"Studio 30 m², refait à neuf ! cuisine séparée, avec double balcon, cave, parking et rangement.Lumineux et spacieux !Au 3ème étage d'un immeuble entretenu dans une résidence sécurisée.Possibilité..."
75013.0,Paris 13E,349000.0,,1 ,30m2,"A 2 min à pied du parc Montsouris et à la limite 13ème / 14ème arrondissements, à 5 min de la Butte aux Cailles, 8 min du métro Glacière (ligne 6), 10 min de Cité Universitaire RER B et du Tramway..."
77120.0,Coulommiers,117000.0,36 ,2 ,1,"A 30 min de Meaux en voiture et 20 min de La FertésousJouarre.Appartement 2 pièces de 36 m² au 1er étage comprenant une grande entrée, un séjour exposé est avec coin cuisine intégré, une chambre,..."
92210.0,Saint-Cloud,615000.0,72 ,3 ,2,"Place de l'Eglise  Saint Cloud Village Très Rare!En plein coeur du village, à proximité des écoles et commerces, à 5 min à pied du tram et du train & 2 min de l'A13, A12 et de la N118.**Très..."
93260.0,Les Lilas,378000.0,62 ,4 ,2,"Au pied du métro Mairie des Lilas  dans une rue paisible  appartement traversant de 61,92 m². 3 pièces situé au rezdechaussée d'un immeuble 1900.Il se compose d'une entrée (8,74 m²), d'un séjour..."
94270.0,Le Kremlin-Bicêtre,530000.0,81 ,3 ,2,"A deux pas du métro KremlinBicêtre (ligne 7), Paris à 5 minutes. Proche des transports, des écoles, du CHU, de la salle de sport Neoness, des commerces (boulangeries, boucheries, Leclerc, Naturalia,..."
75018.0,Paris 18E,224000.0,,1 ,25m2,"Idéal investisseur, pied à terre parisien ou premier appartement.Studio refait à neuf en 2014, 25.1m², 16ème étage/27, 4 ascenseurs.Orienté Ouest : couchés de soleil, vue dégagée sur le ciel,..."
,Vente appartement neuf Villiers-sur-Mar,,,,,"VILLA ROSA.DERNIÈRES OPPORTUNITÉS À SAISIR À VILLIERSSURMARNE !Découvrez les 5 derniers appartements 2 et 3 pièces de la résidence Villa Rosa.Parfaitement pensés pour vous, les appartements bénéficient de..."
95130.0,Franconville,219000.0,57 ,3 ,2,"Quartier ""Les Coteaux"", plein centre ville.A proximité immédiate des commerces, boulangerie, supermarché, transports, écoles et de toutes les commodités.Dans un immeuble récent de 2015, belle..."
,Quartier Abess,320000.0,23 ,2 ,1,"Dans une rue typique du Haut Montmartre : rue Berthe, située entre la rue des Abbesses et le Sacré Cœur à 5min, quartier très commerçant, à 3 min du métro ligne 12.Appartement 2 pièces de 23 m2..."
92200.0,Neuilly-Sur-Seine,875000.0,70 ,3 ,2,"A 3 min à pied de Pont de Neuilly et Les Sablons.Neuilly Roule Peretti Mairie.Au sein d'une résidence sécurisée de grand standing, Appartement 2/3 pièces de 70 m² au 3ème étage, ascenseurs,..."
78200.0,Mantes-La-Jolie,339000.0,87 ,4 ,3,"Centreville à 2 min à pied et à 10 min de la gare de ManteslaJolie.Dans une résidence de standing , construite en 2017, duplex traversant 4 pièces de 87 m2 en rezdejardin avec entrée privée..."
92600.0,Asnières-Sur-Seine,585000.0,71 ,4 ,3,"Très bel appartement de 45P d'une surface de 71 m² Carrez, au 5 ème étage d'un magnifique immeuble haussmannienAscenseurBalcon filantvue dégagée, traversant EstOuestcalmeproche toutes..."
78870.0,Bailly,440000.0,,4 ,91m2,"Résidence de standing recherchée, avec gardien, piscine, proche des écoles, petits commerces et commodités.A 6 km de Versailles, à 5 minutes de l'entrée du parc du château et en bordure de la forêt..."
75012.0,Paris 12E,890000.0,80 ,4 ,2,"Quartier Daumesnil/Dugommier, à proximité de toutes commodités et de nombreux commerces, des écoles. Proche du Bois de Vincennes et du Parc de Bercy, à 4 min des métros, nombreux transports en bus...."
75019.0,Paris 19E,298000.0,,1 ,30m2,"Studio 30 m², refait à neuf ! cuisine séparée, avec double balcon, cave, parking et rangement.Lumineux et spacieux !Au 3ème étage d'un immeuble entretenu dans une résidence sécurisée.Possibilité..."
75013.0,Paris 13E,349000.0,,1 ,30m2,"A 2 min à pied du parc Montsouris et à la limite 13ème / 14ème arrondissements, à 5 min de la Butte aux Cailles, 8 min du métro Glacière (ligne 6), 10 min de Cité Universitaire RER B et du Tramway..."
77120.0,Coulommiers,117000.0,36 ,2 ,1,"A 30 min de Meaux en voiture et 20 min de La FertésousJouarre.Appartement 2 pièces de 36 m² au 1er étage comprenant une grande entrée, un séjour exposé est avec coin cuisine intégré, une chambre,..."
92210.0,Saint-Cloud,615000.0,72 ,3 ,2,"Place de l'Eglise  Saint Cloud Village Très Rare!En plein coeur du village, à proximité des écoles et commerces, à 5 min à pied du tram et du train & 2 min de l'A13, A12 et de la N118.**Très..."
93260.0,Les Lilas,378000.0,62 ,4 ,2,"Au pied du métro Mairie des Lilas  dans une rue paisible  appartement traversant de 61,92 m². 3 pièces situé au rezdechaussée d'un immeuble 1900.Il se compose d'une entrée (8,74 m²), d'un séjour..."
94270.0,Le Kremlin-Bicêtre,530000.0,81 ,3 ,2,"A deux pas du métro KremlinBicêtre (ligne 7), Paris à 5 minutes. Proche des transports, des écoles, du CHU, de la salle de sport Neoness, des commerces (boulangeries, boucheries, Leclerc, Naturalia,..."
75018.0,Paris 18E,224000.0,,1 ,25m2,"Idéal investisseur, pied à terre parisien ou premier appartement.Studio refait à neuf en 2014, 25.1m², 16ème étage/27, 4 ascenseurs.Orienté Ouest : couchés de soleil, vue dégagée sur le ciel,..."
,Vente appartement neuf Saint-Cyr-l'Éco,,,,,Les Jardins de la Cour.Réservez avec 500 euros de dépôt de garantie jusqu'au 30  novembre 2020 ! Les frais de notaire sont offerts jusqu'au 30 novembre pour les 5 premiers réservataires d'un appartement 3P ou plus (pour...
95130.0,Franconville,219000.0,57 ,3 ,2,"Quartier ""Les Coteaux"", plein centre ville.A proximité immédiate des commerces, boulangerie, supermarché, transports, écoles et de toutes les commodités.Dans un immeuble récent de 2015, belle..."
,Quartier Abess,320000.0,23 ,2 ,1,"Dans une rue typique du Haut Montmartre : rue Berthe, située entre la rue des Abbesses et le Sacré Cœur à 5min, quartier très commerçant, à 3 min du métro ligne 12.Appartement 2 pièces de 23 m2..."
92200.0,Neuilly-Sur-Seine,875000.0,70 ,3 ,2,"A 3 min à pied de Pont de Neuilly et Les Sablons.Neuilly Roule Peretti Mairie.Au sein d'une résidence sécurisée de grand standing, Appartement 2/3 pièces de 70 m² au 3ème étage, ascenseurs,..."
,Paris 1,680000.0,62 ,3 ,2,"Au pied du métro Louis Blanc et Jaurès.En face des écoles maternelle et primaire. A  5mn à pied d' un  collège et des commerces.Appartement 3 pièces de 62 m2, au 2ème/5 étages, sans ascenseur...."
93190.0,Livry-Gargan,255000.0,108 ,6 ,4,"A 23 mn à pied, station L''Abbaye. Proche T4.**Très bel appartement familial, très lumineux**, de 107 m², traversant, situé dans une résidence calme, sécurisée et arborée.Il se compose d'une..."
75018.0,Paris 18E,840000.0,96 ,4 ,3,"Championnet / Amiraux.Métros : Simplon (L4), Jules Joffrin et  Marcadet Poissonniers (L12). Bus (31,56,80) et Tramway.Bel appartement familial avec terrasse et vue Sacré Cœur.Orienté plein Sud,..."
75012.0,Paris 12E,890000.0,80 ,4 ,2,"Quartier Daumesnil/Dugommier, à proximité de toutes commodités et de nombreux commerces, des écoles. Proche du Bois de Vincennes et du Parc de Bercy, à 4 min des métros, nombreux transports en bus...."
75019.0,Paris 19E,298000.0,,1 ,30m2,"Studio 30 m², refait à neuf ! cuisine séparée, avec double balcon, cave, parking et rangement.Lumineux et spacieux !Au 3ème étage d'un immeuble entretenu dans une résidence sécurisée.Possibilité..."
75013.0,Paris 13E,349000.0,,1 ,30m2,"A 2 min à pied du parc Montsouris et à la limite 13ème / 14ème arrondissements, à 5 min de la Butte aux Cailles, 8 min du métro Glacière (ligne 6), 10 min de Cité Universitaire RER B et du Tramway..."
77120.0,Coulommiers,117000.0,36 ,2 ,1,"A 30 min de Meaux en voiture et 20 min de La FertésousJouarre.Appartement 2 pièces de 36 m² au 1er étage comprenant une grande entrée, un séjour exposé est avec coin cuisine intégré, une chambre,..."
92210.0,Saint-Cloud,615000.0,72 ,3 ,2,"Place de l'Eglise  Saint Cloud Village Très Rare!En plein coeur du village, à proximité des écoles et commerces, à 5 min à pied du tram et du train & 2 min de l'A13, A12 et de la N118.**Très..."
93260.0,Les Lilas,378000.0,62 ,4 ,2,"Au pied du métro Mairie des Lilas  dans une rue paisible  appartement traversant de 61,92 m². 3 pièces situé au rezdechaussée d'un immeuble 1900.Il se compose d'une entrée (8,74 m²), d'un séjour..."
